Course,Department,Title,ISBN,Author,Edition,Publisher,Grade,Course Code,Notes
American Literature,English,The Crucible,9780142437339,Arthur Miller,,,Junior,AMLIT,
AP Language,English,The Great Gatsby,9780743273565,F. Scott Fitzgerald,,,Junior,APLAN,
AP Language,English,Outliers,9780316017930,Malcolm Gladwell,,,Junior,APLAN,Summer Reading
AP Literature,English,Northanger Abbey,9780141439792,Austen,,,Senior,APLIT,Summer Reading
AP Literature,English,Frankenstein,9781593081157,Mary Shelley,,,Senior,APLIT,Summer Reading
AP Literature,English,The Picture of Dorian Gray,9780486278070,Oscar Wilde,,,Senior,APLIT,
Bitish Literature,English,Frankenstein,9781593081157,Mary Shelley,,,Senior,BRLIT,Summer Reading
British Literature,English,The Picture of Dorian Gray,9780486278070,Oscar Wilde,,,Senior,BRLIT,
British Literature,English,Macbeth,9780743477109,William Shakespeare,,,Senior,BRLIT,
Honors World Literature,English,Lord of the Flies,399501487,Golding,Any,,Sophomore,HOWOL,No E-books allowed
Honors World Literature,English,A Doll's House,486270629,Ibsen,Any,,Sophomore,HOWOL,No E-books allowed
Honors World Literature,English,Kafka on the Shore,9781400079278,Murakami,Any,,Sophomore,HOWOL,Honors Summer Reading. No E-books allowed.
Honors World Literature,English,The Complete Persepolis,375714839,Satrapani,Any,,Sophomore,HOWOL,No E-books allowed
Honors World Literature,English,Julius Caesar,9780486268767,Shakespeare,Any,,Sophomore,HOWOL,No E-books allowed
Honors World Literature,English,Oedipus Rex,9780486268774,Sophocles,Any,,Sophomore,HOWOL,No E-books allowed
Honors World Literature,English,Antigone,9780486278049,Sophocles,Any,,Sophomore,HOWOL,No E-books allowed
Honors World Literature,English,The Things They Carried ,9780544309760,Tim O'Brien ,Any,,Sophomore,HOWOL,Honors Summer Reading. No E-books allowed.
World Literature,English,Lord of the Flies,399501487,Golding,Any,,Sophomore,WOLIT,No E-books allowed
World Literature,English,Namesake,618485228,Lahiri,Any,,Sophomore,WOLIT,No E-books allowed
World Literature,English,Julius Caesar,486268764,Shakespeare,Any,,Sophomore,WOLIT,No E-books allowed
World Literature,English,Oedipus Rex,486268772,Sophocles,Any,,Sophomore,WOLIT,No E-books allowed
World Literature,English,The Things They Carried ,618706410,Tim O'Brien ,Any,,Sophomore,WOLIT,Summer Reading. No E-books allowed.
American Literature,English ,The Circle,9780345807298,Dave Eggers,,,Junior,AMLIT,Summer Reading
American Literature,English ,The Great Gatsby,9780743273565,F. Scott Fitzgerald,,,Junior,AMLIT,
Public Speaking,Humanities,Presentation Zen,321525655,Garr Reynolds,,,Freshman Sophomore Junior Senior,PUBSP,
