"Grade","Department","Course","ISBN","Author","Title","Publisher","Edition","Course ID","Notes"
"Sophomore","English","English II: World Literature","679750533","Haruki Murakami","The Elephant Vanishes: Stories","","","10820","SUMMER READING, NO EBOOKS ALLOWED"
"Sophomore","English","English II: World Literature","399501487","William Golding","Lord of the Flies","","","10820","NO EBOOKS ALLOWED"
"Sophomore","English","English II: World Literature","743482832","William Shakespeare","The Tempest","","","10820","NO EBOOKS ALLOWED"
"Sophomore","English","English II: World Literature","618485228","Jhumpa Lahiri","The Namesake","","","10820","NO EBOOKS ALLOWED"
"Sophomore","English","Honors English II: World Literature","679750533","Haruki Murakami","The Elephant Vanishes: Stories","","","10822","SUMMER READING, NO EBOOKS ALLOWED"
"Sophomore","English","Honors English II: World Literature","015602764X","Sophocles","The Oedipus Cycle","","Trans: FitzGerald and Fitts","10822","NO EBOOKS ALLOWED"
"Sophomore","English","Honors English II: World Literature","385474547","Chinua Achebe","Things Fall Apart","","","10822","NO EBOOKS ALLOWED"
"Sophomore","English","Honors English II: World Literature","62301675","Thomas C. Foster","How to Read Literature Like a Professor","","","10822","NO EBOOKS ALLOWED"
"Sophomore","English","Honors English II: World Literature","399501487","William Golding","Lord of the Flies","","","10822","NO EBOOKS ALLOWED"
"Sophomore","English","Honors English II: World Literature","743482832","William Shakespeare","The Tempest","","","10822","NO EBOOKS ALLOWED"
"Junior","English","American Literature","9780345807298","Dave Eggers","The Circle","","","10830","SUMMER READING, NO EBOOKS ALLOWED"
"Junior","English","American Literature","9780743273565","F. Scott Fitzgerald","The Great Gatsby","","","10830","NO EBOOKS ALLOWED"
"Junior","English","American Literature","9781503293182","Kate Chopin","The Awakening","","","10830","NO EBOOKS ALLOWED"
"Junior","English","American Literature","9780486280615","Mark Twain","Huckleberry Finn","","","10830","NO EBOOKS ALLOWED"
"Junior","English","AP English Language & Composition","307387895","Cormac McCarthy","The Road","","","10832","SUMMER READING, NO EBOOKS ALLOWED"
"Junior","English","AP English Language & Composition","316017930","Malcolm Gladwell","Outliers","","","10832","SUMMER READING, NO EBOOKS ALLOWED"
"Junior","English","AP English Language & Composition","042527618X","Mark Forsyth","Eloquence","","","10832","NO EBOOKS ALLOWED"
"Junior","English","AP English Language & Composition","743273567","F. Scott Fitzgerald","The Great Gatsby","","","10832","NO EBOOKS ALLOWED"
"Junior","English","AP English Language & Composition","1512090565","Nathaniel Hawthorne","The Scarlet Letter","","","10832","NO EBOOKS ALLOWED"
"Junior","English","AP English Language & Composition","9780062301673","Thomas C. Foster","How to Read Literature Like a Professor","","","10832","NO EBOOKS ALLOWED"
"Senior","English","British Literature","9780060850524","Aldous Huxley","Brave New World","","","10840","SUMMER READING, NO EBOOKS ALLOWED"
"Senior","English","British Literature","743477103","William Shakespeare","Macbeth","","","10840","NO EBOOKS ALLOWED"
"Senior","English","British Literature","486278077","Oscar Wilde","The Picture of Dorian Gray","","","10840","NO EBOOKS ALLOWED"
"Junior Senior","English","AP English Literature & Composition","9780062301673","Thomas C. Foster","How to Read Literature Like a Professor","","","10842","NO EBOOKS ALLOWED"
"Senior","English","AP English Literature & Composition","486282112","Mary Shelley","Frankenstein","","","10842","SUMMER READING, NO EBOOKS ALLOWED"
"Senior","English","AP English Literature & Composition","9780060883287","Gabriel Garcia Marquez","100 Years of Solitude","","","10842","SUMMER READING, NO EBOOKS ALLOWED"
"Senior","English","AP English Literature & Composition","141439793","Jane Austen","Northanger Abbey","","","10842","NO EBOOKS ALLOWED"
"Senior","English","AP English Literature & Composition","393932346","Lewis Carroll","Alice in Wonderland","","","10842","NO EBOOKS ALLOWED"
"Senior","English","AP English Literature & Composition","486278077","Oscar Wilde","The Picture of Dorian Gray","","","10842","NO EBOOKS ALLOWED"
"Senior","English","AP English Literature & Composition","074347712X","William Shakespeare","Hamlet","","","10842","NO EBOOKS ALLOWED"
"Senior","English","AP English Literature & Composition","743477103","William Shakespeare","Macbeth","","","10842","NO EBOOKS ALLOWED"
"Freshman","English ","English I ","345391802","Douglas Adams","The Hitchhiker's Guide to the Galaxy","","","10810","SUMMER READING, NO EBOOKS ALLOWED"
"Freshman","English ","English I ","1586638483","William Shakespeare","A Midsummer Night's Dream","","No Fear Shakespeare","10810","NO EBOOKS ALLOWED"
"Freshman","English ","English I ","140177396","John Steinbeck","Of Mice and Men","","","10810","NO EBOOKS ALLOWED"
"Freshman","English ","English I ","1451673310","Ray Bradbury","Fahrenheit 451","","","10810","NO EBOOKS ALLOWED"
"Freshman","English ","Honors English I","345391802","Douglas Adams","The Hitchhiker's Guide to the Galaxy","","","10812","SUMMER READING, NO EBOOKS ALLOWED"
"Freshman","English ","Honors English I","142001740","Sue Monk Kidd","The Secret Life of Bees","","","10812","NO EBOOKS ALLOWED"
"Freshman","English ","Honors English I","1586638483","William Shakespeare","A Midsummer Night's Dream","","No Fear Shakespeare","10812","NO EBOOKS ALLOWED"
"Freshman","English ","Honors English I","140177396","John Steinbeck","Of Mice and Men","","","10812","NO EBOOKS ALLOWED"
"Freshman ","Mathematics","Algebra I","9780395977224","Richard Brown, William Cole, Mary Dolciani, Robert Sorgenfrey","Algebra: Structure and Method - Book 1","MacDougal Litell","","10510",""
"Freshman ","Mathematics","Honors Algebra I","9780395977224","Richard Brown, William Cole, Mary Dolciani, Robert Sorgenfrey","Algebra: Structure and Method - Book 1","MacDougal Litell","","10512",""
"Freshman Sophomore","Mathematics","Geometry","9780395977279","Richard Brown, John W. Jurgensen, Ray C. Jurgensen","Geometry","MacDougal Litell","","10520",""
"Freshman Sophomore","Mathematics","Honors Geometry","9780395977279","Richard Brown, John W. Jurgensen, Ray C. Jurgensen","Geometry","MacDougal Litell","","10522",""
"Sophomore Junior","Mathematics","Algebra II","9780395977255","Richard Brown, Mary Dolciani, Robert Kane, Robert Sorgenfrey","Algebra and Trigonometry: Structure and Method - Book 2","MacDougal Litell","","10530",""
"Sophomore Junior","Mathematics","Honors Algebra II / Trigonometry","9780395977255","Richard Brown, Mary Dolciani, Robert Kane, Robert Sorgenfrey","Algebra and Trigonometry: Structure and Method - Book 2","MacDougal Litell","","10532",""
"Junior Senior","Mathematics","Financial Algebra","9781285444857","Robert Gerver, Richard J. Sgroi","Advanced Algebra with Financial Applications","Cengage Learning","","10533",""
"Junior Senior","Mathematics","Pre-Calculus","9780495392767","Lothar Redlin, James Stewart, Saleem Watson","Precalculus (Fifth Edition)","Cole, Thomas Brooks","","10540",""
"Junior Senior","Mathematics","Calculus ","9780130631312","Franklin Demana, Ross Finney, Daniel Kennedy, Bert K. Waits","Calculus: Graphical, Numerical, Algebraic","Prentice Hall ","","10554",""
"Freshman","Medical Focus","Introduction to Health Care","9780134157245","Shirley Badasch, Doreen Cheseboro","Health Science Fundamentals (Exploring Career Pathways)","Pearson","2nd Ed 2015","10614",""
"Sophomore","Medical Focus","Genetics & Biotech","","","","","","10672","NO BOOK REQUIRED"
"Sophomore","Medical Focus","Biomedical Issues/Ethics","","","","","","10631","NO BOOK REQUIRED"
"Freshman Sophomore Junior","Performing Arts ","Classical Acting","9780415496728","Lenard Petit","The Michael Chekhov Handbook for the Actor","Routledge","","10791",""
"Freshman Sophomore Junior","Performing Arts ","Drama / Theatre","9780394744124","Melissa Bruder","A Practical Handbook for the Actor","Vintage","1st","10794","EBOOKS ENCOURAGED, TEXTBOOK AVAILABLE IN CLASS"
"Freshman","Physical Education","Physical Education ","","","","","","10910 10920","Uniform is provided by the school, billed through finance.  Athletic shoes are required to be worn in class. Street and skate shoes are not allowed.  The sole of the shoe should be hard and should not bend/fold.  No textbook is required.
"
"Freshman","Religious Studies","Christian Formation","9781847305022","","God's Word Revealed in Sacred Scripture","Veritas","2013","10210","EBOOKS ENCOURAGED, TEXTBOOK AVAILABLE IN CLASS"
