Course,Department,Title,ISBN,Author,Edition,Publisher,Grade,Course Code,Notes
American Literature,English,The Crucible,9.78014E+12,Arthur Miller,,,Junior,AMLIT,
AP Language,English,The Great Gatsby,9.78074E+12,F. Scott Fitzgerald,,,Junior,APLAN,
AP Language,English,Outliers,9.78032E+12,Malcolm Gladwell,,,Junior,APLAN,Summer Reading
AP Literature,English,Northanger Abbey,9.78014E+12,Austen,,,Senior,APLIT,Summer Reading
AP Literature,English,Frankenstein,9.78159E+12,Mary Shelley,,,Senior,APLIT,Summer Reading
AP Literature,English,The Picture of Dorian Gray,9.78049E+12,Oscar Wilde,,,Senior,APLIT,
Bitish Literature,English,Frankenstein,9.78159E+12,Mary Shelley,,,Senior,BRLIT,Summer Reading
British Literature,English,The Picture of Dorian Gray,9.78049E+12,Oscar Wilde,,,Senior,BRLIT,
British Literature,English,Macbeth,9.78074E+12,William Shakespeare,,,Senior,BRLIT,
Honors World Literature,English,Lord of the Flies,399501487,Golding,Any,,Sophomore,HOWOL,No E-books allowed
Honors World Literature,English,A Doll's House,486270629,Ibsen,Any,,Sophomore,HOWOL,No E-books allowed
Honors World Literature,English,Kafka on the Shore,9.7814E+12,Murakami,Any,,Sophomore,HOWOL,Honors Summer Reading. No E-books allowed.
Honors World Literature,English,The Complete Persepolis,375714839,Satrapani,Any,,Sophomore,HOWOL,No E-books allowed
Honors World Literature,English,Julius Caesar,9.78049E+12,Shakespeare,Any,,Sophomore,HOWOL,No E-books allowed
Honors World Literature,English,Oedipus Rex,9.78049E+12,Sophocles,Any,,Sophomore,HOWOL,No E-books allowed
Honors World Literature,English,Antigone,9.78049E+12,Sophocles,Any,,Sophomore,HOWOL,No E-books allowed
Honors World Literature,English,The Things They Carried ,9.78054E+12,Tim O'Brien ,Any,,Sophomore,HOWOL,Honors Summer Reading. No E-books allowed.
World Literature,English,Lord of the Flies,399501487,Golding,Any,,Sophomore,WOLIT,No E-books allowed
World Literature,English,Namesake,618485228,Lahiri,Any,,Sophomore,WOLIT,No E-books allowed
World Literature,English,Julius Caesar,486268764,Shakespeare,Any,,Sophomore,WOLIT,No E-books allowed
World Literature,English,Oedipus Rex,486268772,Sophocles,Any,,Sophomore,WOLIT,No E-books allowed
World Literature,English,The Things They Carried ,618706410,Tim O'Brien ,Any,,Sophomore,WOLIT,Summer Reading. No E-books allowed.
American Literature,English ,The Circle,9.78035E+12,Dave Eggers,,,Junior,AMLIT,Summer Reading
American Literature,English ,The Great Gatsby,9.78074E+12,F. Scott Fitzgerald,,,Junior,AMLIT,
Public Speaking,Humanities,Presentation Zen,321525655,Garr Reynolds,,,Freshman Sophomore Junior Senior,PUBSP,
Public Speaking,Humanities,How to Deliver a TED Talk,71831592,Jeremy Donovan,,,Freshman Sophomore Junior Senior,PUBSP,
Algebra 2,Math,Algebra and Trigonometry: Structure and Method Book 2,9.7804E+12,"Brown, Dolciani, Sorgenfrey, Kane",,MacDougal Litell,Sophomore Junior,ALGEB2,
CP Algebra 1,Math,Algebra: Structure and Method Book 1,9.7804E+12,"Brown, Dolciani, Sorgenfrey, Cole",,MacDougal Litell,Freshman,CPALG1,
